Account,Allocation,BAL,vlCVX,Voting power,Vote,NFT
0xd34427950f74a15bd18d1be4cb3dd5dd65f9eb1f,2052546747452700401482,19243324668835911779752,0,0,-,0
0xb7f1ea585d7bf0f04941a29a03465cb74844c0cb,2051854746813441579434,19234674832769760313109,0,0,-,0
0xbcbeac56eef250e8a4859be46c6cbfd93aae5d2f,2043041238624509560395,5091864562089651000000,0,2126171021002955967560,Y,0
0xcd46ec6b6c1214145cb968f33fdc0eab19196cfa,2035887647827002183476,0,90000000000000000000000,0,-,0
0x0519ba35ae9ce8a987bba57f1b7d22fcfd8b7fa8,2024935956463588354381,0,89355061022014400805347,0,-,0
0xba3c494f3b3937d1c8101ffbe1588023ad5ea0a2,2016729777622244228041,5325842463766136628421,0,2041069856328366313392,Y,0
0xa802704860ed515a6784a650bc15ad7d630d818d,2012265096911366526911,18741439999999998690328,0,0,-,0
0x8b096af1a5279242908347dfe7229c4fba8d8070,2002697511610021365414,0,88049030255797944846563,0,-,0
0x02eb66171aa8f78f3e0e6020a816f30a17e006db,1997805896239289495497,13023029865105298000000,12612425948215934113250,0,-,0
0x598265c6863811ce5e7e65a55b16322ceaff068f,1972193575517526141994,18245485217321958771208,0,0,-,0
0x781fea3353d6efbbabc9fac0b4725eff3c77dba7,1959269228701431302397,0,85512497324369760463014,0,-,0
0xae2113de1cd10c5d626e902760638a4f5ae53d7a,1937668760526420328461,17820863668202178814681,0,0,-,0
0xc5df0de04927f66ef9d2b64e25be9caaafb1971f,1922919987008905764014,0,83403776846284687053412,0,-,0
0x5b32927c7138a4f9c295285d8a5e860ba991914b,1919067195585682611636,8429990495989072000000,0,1388353415837833381374,Y,0
0x786aa398183b169b1eeb95f376956f72146601fa,1916895223302429485557,0,83055538767697988077998,0,-,0
0x7f534820c3931b168b1a46e16f677ae9bc4914b6,1915997910280149241657,0,76043779999999998835847,0,-,1
0x5c8898f8e0f9468d4a677887bc03ee2659321012,1911898401372527132480,0,82766993469135093619116,0,-,0
0x79a98a9f41051e119cad1b9ffefe523cd0be65f0,1901731860391094869556,17381546222733192000000,0,0,-,0
0x03b3e2069830dd3bd1a5b5e45dad60a770227ed7,1885766448851206405379,0,81262087095914597739466,0,-,0
0xd27d90b337717fd91c4d409f712b890d4ee2fdd6,1876340885529531078646,5056113099147403205240,0,1820711730236860148580,Y,0
0x57ef012861c4937a76b5d6061be800199a2b9100,1868712234017417586074,16980322571725403000000,0,0,-,0
0xb79c662c667e056150d9ba0fec36217d6bb74049,1860661150251156641389,7997234128085005000000,0,1346305370400740230252,Y,0
0xd0b8dfcf9da999db981a60a8da6584e8e52b757c,1858585656907535167193,0,79704138980940682813525,0,-,0
0x0991d02f28a5283338e9591cbf7de2eb25da46cd,1856444619851531342647,0,79581740000000005238689,0,-,0
0x6c5e1df7351356d60b7ba512817b9958949131ac,1846128386153590781760,16707260000026122725103,0,0,-,0
0x82a4697a45037c4ae1babd7af6c6d04254e4085a,1842790875724210764020,16667000000000000000000,0,0,-,0
0xb370b2b6a9c4ce5c6860204758e889956cf80890,1842790875724210764020,16667000000000000000000,0,0,-,0
0x3637d7f6041d73917017e5d3e2259473215ecf6f,1826577765689888337874,4208636592072489000000,0,1858050424672368080792,Y,0
0xfab3b859f4d2175cc7bcd6f343cfee4edf9445ab,1824511623088100208179,9628643677788326000000,3015156821999999920081,747060215235183591176,Y,0
0xf70c1cb0a9833ba9613f054db71ab3eaf45060b6,1820709788021780695999,0,77545821681435365462676,0,-,0
0x0bf93ea5a1fa4ce3dd22c7ffd314462d3869777f,1817335204516179601342,4517090283978688000000,0,1794491282703235356166,Y,0
0xe3e39161d35e9a81edec667a5387bfae85752854,1809822422260662960980,4220738232487463602611,0,1825738988871794390434,Y,0
0x009023da14a3c9f448b75f33ceb9291c21373bd8,1798076563913413110640,16129971687041486802627,0,0,-,0
0x618f2d5932b4d29bda43a96be1eef390e1916e24,1773275044886163186675,15834007058203427732224,0,0,-,0
0xa23cb68780be74b254a5f7210ec6cf1c76289953,1754024930524060394532,204264762582233270750,70000000000000000000000,0,-,0
0x5db5a82d59e30aa3d077727ddad04e1d3a6714f0,1736928513217585759776,15402762672995251705288,0,0,-,0
0x88b6cace7c485db4a33f4da78d10abce5820467f,1731953248602310850401,0,72546921133551746267392,0,-,0
0x3a3ee61f7c6e1994a2001762250a5e17b2061b6d,1720791415377096654993,15212257639378867679625,0,0,-,0
0x805bc7236e8a68a5caf60a89ba1271c66b10ed0b,1718498204877737180141,9674524914122538000000,0,834955848912391047634,Y,0
0xa97e52b529860f3a539abdf44d6f45f4bebd5008,1714688486786725206912,15140364826280001580017,0,0,-,0
