Account,Allocation
0x4e65175f05b4140a0747c29cce997cd4bb7190d4,2439777503055540364585
0x5c461a0c595d6b2a4b0f4a42fd55be7aaed8af80,2424887863519355505559
0x512fce9b07ce64590849115ee6b32fd40ec0f5f3,2424102339235320940247
0xe68d7a6c421e2d220b5840116008c9abdbcf53b2,2421739925832507196901
0x125f95140e9c4b34043546bb5ac302b3aecff65b,2420150533045807151211
0x48c6074ffcb8fb67d75ccd06571b42542ed82555,2397642858816340776684
0x284b4d2b39c49ec987aa5129c2145711363181c7,2353815820935658848612
0x42d13efa958586ff2d3ec20956d44dad8da55864,2353454475196220755606
0x09d4083ffd20d21acb9118465ad7c52ac8b548f7,2352625483577363866061
0xe69e091fbb8031b17d5f3f106bed2213ba3d860c,2352052290911471118307
0xb115aff9ce430fef6fcde91099a377795a4319bf,2344093813479038999503
0xa23f5e6974633d93b3f456d33b336628e6199947,2316921408836063619674
0x72a916702bd97923e55d78ea5a3f413dec7f7f85,2310741459551099524106
0xf85385347f56819c316939434d427d0c9537eddc,2301667621886437700596
0x6e26d91c264ab73a0062ccb5fb00becfab3acc6b,2296602528373771292536
0xc4195d4060daeac44058ed668aa5efec50d77ff6,2287643157262989916489
0x7a8edc710ddeadddb0b539de83f3a306a621e823,2264948353327838049154
0xb007c70fc157dc7f30cc2be46c9d74eab93a8877,2215842501888359038276
0x44751213b4800dd3e70f299a167fdf25bfceb665,2210864229992773744016
0x7308a21030ae55721707fd4717bf5f8e1b0afbed,2198945418362108739530
0xe6882e6093a69c47fc21426c2dfdb4a08eb2dec8,2189100766844281224621
0x0459dda9eb7062e6fdca6293a4c363722fca6102,2182662253927672736609
0x12b846cf0a231fc291d3c63f83dcc43cff421664,2181986346614379272069
0x1d5e62171e052419a2f682c6f465f9357d69f39f,2181943417668137499277
0x93d2da51546a9a422f00277c388a53276fa7f685,2181849055182096890348
0x7c363e4650ca88e4676f1ce2ac6f2dd50c102198,2181849055182096890348
0x8906da6bc78f5e4b2a8bbdcf0ff7b5a7c52ea0d4,2165877339995165129949
0x59e0cda5922efba00a57794faf09bf6252d64126,2153365852201843608782
0x1be2c432d02ffb083ed99143d5564880802091bb,2151451339964094131574
0x483f556fa515bfe3d015e71b65b7e3cc84815b8d,2150818748138825867500
0x4daa44cf5ebbad57c45c79abe805d30ddb74f644,2135136587438958486018
0xed99c6929bba505a2f1a65b9ca156a068fab6427,2106521159150393486925
0xe67e43b831a541c5fa40de52ab0afbe311514e64,2104384557260467317974
0xdaffc78dbe2087254aff69594f7029bf8f33eba2,2068589141647121323331
0x1773a7e1fbccfa58a80eec742be10cb40047345e,2068574744945179645583
0x4f2331009166597a3bf44bee7380ac0580646c19,2060817072326767174673
0xb1e81d0107c5efe867ad850f73db3b21b442835a,2052553885855843873287
0xc8034cd0b95655ea6dafbd8cd78bbe98f0b952ae,2049251049229673014907
0xcd46ec6b6c1214145cb968f33fdc0eab19196cfa,2016074534487937853555
0x0519ba35ae9ce8a987bba57f1b7d22fcfd8b7fa8,2005229424203528651560
0xb13116f6f225e9d58ef6cc1b87a492eeeceb15c8,1994213624735639086794
0x8b096af1a5279242908347dfe7229c4fba8d8070,1983207402308683640513
0x3dba737ccc50a32a1764b493285dd51c8af6c278,1979271905771525553064
0xccff6a7cc27858eb7777f51c244360c04591c165,1974954617555856430045
0xfbf75933e01b75b154ef0669076be87f62dffae1,1954359685382274165022
0xa62315902faadc69f898cc8b85f86ffd1f6aaed8,1948673011725690685125
0x781fea3353d6efbbabc9fac0b4725eff3c77dba7,1940201760350986660342
0x3f7e19951dfe627d839b17c2b515324fc5103af4,1932851834935518581915
0x324e0b53cefa84cf970833939249880f814557c6,1924568414552000604090
0xbbccf6cab5b3aec26b0cbc6095b5b6ddbacfd59a,1912658843110970906309
0xc5df0de04927f66ef9d2b64e25be9caaafb1971f,1904206266885290688151
0x7f534820c3931b168b1a46e16f677ae9bc4914b6,1898462795986813787863
0x786aa398183b169b1eeb95f376956f72146601fa,1898240135749371347629
0x5c8898f8e0f9468d4a677887bc03ee2659321012,1893291942533994642872
0x47e6dac0fdb0e9de4a1070e1978aa6cbeeedc32f,1880824887372989678624
0x03b3e2069830dd3bd1a5b5e45dad60a770227ed7,1867414304310237639584
0xd0b8dfcf9da999db981a60a8da6584e8e52b757c,1840498033894559739565
0x0991d02f28a5283338e9591cbf7de2eb25da46cd,1838377833258433156516
0x5c89c420a9e82ea9aedbaaab03302e39982919b9,1829671203616786669954
0xf70c1cb0a9833ba9613f054db71ab3eaf45060b6,1802990770262562591597
0x12df9fb56c0d669616379e8c7ce2dfba355df6dc,1782440810633069304458
0xcaab2680d81df6b3e2ece585bb45cee97bf30cd7,1746814586871149913350
