Account,Allocation,BAL,vlCVX,Voting power,Vote
0x72a916702bd97923e55d78ea5a3f413dec7f7f85,2619048283515898674523,0,107953204755057377042249,0,-
0x6e26d91c264ab73a0062ccb5fb00becfab3acc6b,2601319311680381360929,0,107073380810312242829241,0,-
0xf85385347f56819c316939434d427d0c9537eddc,2592725843586300470633,0,106647359673590166494250,0,-
0xe5350e927b904fdb4d2af55c566e269bb3df1941,2549795188034520833753,759542931633348075593,104523417863117036176845,0,-
0x7a8edc710ddeadddb0b539de83f3a306a621e823,2529693582678222355753,0,103531422946467893780209,0,-
0x7308a21030ae55721707fd4717bf5f8e1b0afbed,2479187239178503205039,0,101046125010170668247156,0,-
0x12b846cf0a231fc291d3c63f83dcc43cff421664,2458036054392935966462,0,100008390001240128185600,0,-
0xe6882e6093a69c47fc21426c2dfdb4a08eb2dec8,2457864950399312874652,0,100000002605305053293705,0,-
0x93d2da51546a9a422f00277c388a53276fa7f685,2457864897250363355852,0,100000000000000000000000,0,-
0x7c363e4650ca88e4676f1ce2ac6f2dd50c102198,2457864897250363355852,1045876260433985294,100000000000000000000000,0,-
0x92f5d472bb5018e858e23453641850bfeac30e7d,2424638762103668796044,0,98373553051931870868430,0,-
0x1be2c432d02ffb083ed99143d5564880802091bb,2419997373427054753847,0,98146714968329179100692,0,-
0x0459dda9eb7062e6fdca6293a4c363722fca6102,2361215904159221281589,0,95281649786183392279781,0,-
0xdaffc78dbe2087254aff69594f7029bf8f33eba2,2317064713206442775117,0,93139246115558242308907,0,-
0x1773a7e1fbccfa58a80eec742be10cb40047345e,2317046867094867593551,0,93138381825088930781931,0,-
0xcd46ec6b6c1214145cb968f33fdc0eab19196cfa,2252056541350140832947,0,90000000000000000000000,0,-
0x0519ba35ae9ce8a987bba57f1b7d22fcfd8b7fa8,2238653643987649047631,0,89355061022014400805347,0,-
0x58c0a5f11469ea49ad1bf0ad0d25a5cae582dd0a,2137115104582041567483,0,84495039415492035914212,0,-
0xc5df0de04927f66ef9d2b64e25be9caaafb1971f,2114180937714461379073,0,83403776846284687053412,0,-
0x781fea3353d6efbbabc9fac0b4725eff3c77dba7,2094072283932227946934,0,82448951000854445737787,0,-
0x03b3e2069830dd3bd1a5b5e45dad60a770227ed7,2069021597887831376283,0,81262087095914597739466,0,-
0x8b4334d4812c530574bd4f2763fcd22de94a969b,2061345511124080530863,0,80898992712728955666535,0,-
0x786aa398183b169b1eeb95f376956f72146601fa,2041684327395094669555,0,79970243640345885069109,0,-
0xd0b8dfcf9da999db981a60a8da6584e8e52b757c,2036043877756219217190,0,79704138980940682813525,0,-
