Account,Allocation,BAL,vlCVX,Voting power,Vote
0x71506af8e1bc762b4a7745665595ca07548a944d,4382180820250429860607,28555328884237563215720,0,155005919255042856093496,Y
0x1157a2076b9bb22a85cc2c162f20fab3898f4101,4340913083610435933224,42265967521699545613956,0,0,-
0x3bfe14b758d1cec88e29c4748c09420b6e4319db,4336828710271570344048,42209966837533153011464,0,0,-
0xcb3593c7c0dfe13129ff2b6add9ba402f76c797e,4180974833609499000886,40089264369373035151511,0,0,-
0xf6e2c94a609ca303964b65ec991a1a0d2991b961,4168601514157018755213,39922264668250776594505,0,0,-
0xe2c91f3409ad6d8ce3a2e2eb330790398cb23597,4102586769374404866539,39034707962865526496898,0,0,-
0x97960149fc611508748de01202974d372a677632,3926191732327366025856,36691786925334650732111,0,0,-
0x2f93524b327100fba3dc685204f94c7a86c28a8b,3919138603003218122467,36598984048624020942952,0,0,-
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,3841269975823296135786,23719307685136044710816,0,32617909262800367287127,Y
0xcb33844b365c53d3462271cee9b719b6fc8ba06a,3809202917040848660690,35161345711452094292327,0,0,-
0xc06a6bbef0ae40ae29164452e08a32666094ec99,3709820043827114204760,33876200343724951380864,0,0,-
0xaeddeeb74a18510a7ce945e88f037e7b37aa5587,3677062887163756386144,33455663097768541774713,0,0,-
0xe69e091fbb8031b17d5f3f106bed2213ba3d860c,3641490962388801563065,33000720000000001164153,0,0,-
0x7e4b4dc22111b84594d9b7707a8dcffd793d477a,3525877850962854608952,31534666399576206458732,0,0,-
0x44751213b4800dd3e70f299a167fdf25bfceb665,3434220672840112911217,30386234321737661957741,0,0,-
0x8906da6bc78f5e4b2a8bbdcf0ff7b5a7c52ea0d4,3368031573286318689497,29564639999999999417923,0,0,-
0xc02a0ffc3a2b142954848f3605b341c42d1d58f4,3304974643460794140992,28788033562637272552820,0,0,-
0x59e0cda5922efba00a57794faf09bf6252d64126,3257090278230672083737,28202315526840000529774,0,0,-
0x4f2331009166597a3bf44bee7380ac0580646c19,3213168065890691195818,27668144995381229819031,0,0,-
0xd6e96e437b8d42406a64440226b77a51c74e26b1,3141255885813503027748,26800000000000000000000,0,0,-
0xb13116f6f225e9d58ef6cc1b87a492eeeceb15c8,3114774604241863926291,26482340000000000145519,0,0,-
0x3dba737ccc50a32a1764b493285dd51c8af6c278,3092677285111208675517,26218111046672725933604,0,0,-
0x0412ed8438b5fae246606909ef8ba365f9103783,3084152236418928168860,26116378334161936436431,0,0,-
0x125f95140e9c4b34043546bb5ac302b3aecff65b,3077290868978894195607,26034582342421304929303,0,0,-
0x1d5e62171e052419a2f682c6f465f9357d69f39f,3068341135599377594190,25928002360875238082372,0,0,-
0x92f8fd976590b40da4f75f658daff6967c1e3741,3042807148827750097553,25624623189413086947752,0,0,-
0xa23f5e6974633d93b3f456d33b336628e6199947,2952889042863297163422,24564570691756409360096,0,0,-
0x67905d3e4fec0c85dce68195f66dc8eb32f59179,2940893236923775475589,24424136653619585558772,0,0,-
0x334f12afb7d8740868be04719639616533075234,2928484100086787293549,24279109785403968999162,0,0,-
0xc4195d4060daeac44058ed668aa5efec50d77ff6,2924531651699148369516,24232969742661702184705,0,0,-
0xb618f903ad1d00d6f7b92f5b0954dcdc056fc533,2852437806830657791579,23395850333329886780120,0,0,-
0x1fbf5955b35728e650b56ef48ee9f3bd020164c8,2798766389175958465785,22778219416591738990974,0,0,-
